SMILES,PCE
CC1=CC=C(C2=CC=C(C3=CC=C(C4=C(N=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=N7)C7=C(C8=CC=C(C)S8)S4)S3)C=C2C9(CC(CC)CCCC)CC(CC)CCCC)C9=C1,0.89
CC1=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C2=C3C=CC(C4=CC=C(C5=C6C(N=C(C7=CC=CC=C7)C(C8=CC=CC=C8)=N6)=C(C9=CC=C(C)S9)S5)S4)=C2)=C3C=C1,0.9
CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)C4=NSN=C43)S5)C5=C2OCCCCCCCCCCCC,0.9
CC1=CC=C(C(C=CC(C2=CC=C(C3=C(OCCCCCCCC)C(OCCCCCCCC)=C(C4=CC=C(C)S4)C5=NSN=C35)S2)=C6)=C6C7=C(C(OCC(CCCC)CC)=O)SC(C(OCC(CCCC)CC)=O)=C78)C8=C1,0.9
CC1=CC=C(/C(C(N2CC(CCCCCCCC)CCCCCCCCCC)=O)=C(C(N3CC(CCCCCCCCCC)CCCCCCCC)=O)/C4=C3C=C(C=C4)C5=CC=C(C)S5)C2=C1,0.92
CC1=CC=C(C(N(CC(CCCC)CCCCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5CCC(CCCC)CCCCC)=C(CCC(CCCCC)CCCC)C6=C5C=C(C)S6)N7CC(CCCCCC)CCCC)C7=O)S1,0.93
CC(S1)=CC(OCCCCCCCC)=C1C2=NC(S3)=C(S2)N=C3C4=C(OCCCCCCCC)C=C(C5=C(CCCCCCCC)C=C(C6=CC(CCCCCCCC)=C(C)S6)S5)S4,0.94
CC1=CC(C(C=CC=C2)=C2/C3=C4C(SC(C5=CC=C(C6=C7C(C(N6CCCCCCCCCCCCCCCCCCCC)=O)=C(C8=CC=C(C)S8)N(CCCCCCCCCCCCCCCCCCCC)C7=O)S5)=C9)=C9C%10=C\4C=CC=C%10)=C3S1,0.94
CC1=CC(CCCCCCCC)=C(C2=NC3=CC4=C(N=C(C5=C(CCCCCCCC)C=C(C6=CC=C(C(C=CC(C)=C7)=C7N8C(CCCCCCCC)CCCCCCCC)C8=C6)S5)S4)C=C3S2)S1,0.95
CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=CC=C(C4=C5C(C(N(CC(CC)CCCC)C5=O)=O)=C(C6=CC=C(C)S6)S4)S3)S7)C7=C2OCC(CCCC)CC,0.95
CC1=CC(N(CC(CCCCCC)CCCC)C(C2=C3SC(C4=CC(CCCCCC)=C(C5=C(CCCCCC)C=C(C)S5)S4)=C2)=O)=C3S1,0.95
O=C1C(C2=C(C3=CC=C(C)S3)N1CCCCCCCCCCCCCC)=C(C(S4)=CC=C4C(S5)=CC(CCCCCCCCCC)=C5C(O6)=C(CCCCCCCCCC)C(C6=C7)=CC8=C7C(CCCCCCCCCC)=C(C9=C(CCCCCCCCCC)C=C(C)S9)O8)N(CCCCCCCCCCCCCC)C2=O,0.97
CC1=CC=C(C(C2(CCCCCC)CCCCCC)=C1)C3=C2C=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(C)S7)C8=NSN=C86)S5)C=C4C9(CCCCCC)CCCCCC)C9=C3,0.97
O=C(N1CC(CCCCCCCC)CCCCCCCCCC)C2=C(C(C=CC3=C4C5=C(C=C(C6=CC=C(C)S6)S5)N(CC(CCCCCCCCCC)CCCCCCCC)C3=O)=C4C=C2)C7=C1C=C(C)S7,0.98
CC1=CC(SC2=C3SC(C4=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C5=CC=C(C6=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C)S6)C7=NSN=C75)S4)=C2)=C3S1,1
CC1=CC=C(C(N(CC(CCCC)CC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5OCC(CC)CCCC)=C(OCC(CC)CCCC)C6=C5C=C(C)S6)N7CC(CC)CCCC)C7=O)S1,1
CC1=CC2=C(OCC(CCCC)CC)C3=C(C=C(C4=C5C(C(C(C=C(OCCCCCCCC)C=C6)=C6C5=O)=O)=C(C)S4)S3)C(OCC(CC)CCCC)=C2S1,1.01
CC1=CC2=C(C(SC(C3=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C4=C(F)C(F)=C(C5=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C)S5)C6=NSN=C64)S3)=C7)=C7C8=C2SC(C(CCCCCCCC)CCCCCCCC)=C8)S1,1.01
CC1=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C2=C3C=CC(C4=CC=C(C5=C6C(N=C(C)C(C)=N6)=C(C7=CC=C(C)S7)S5)S4)=C2)=C3C=C1,1.02
CC(S1)=CC(CCCCCCCC)=C1C2=NC(S3)=C(S2)N=C3C4=C(CCCCCCCC)C=C(C5=C(CCCCCCCC)C=C(C6=CC(CCCCCCCC)=C(C)S6)S5)S4,1.03
CC1=CC(CCCCCCCCCCCC)=C(/C=C/C2=C(CCCCCCCCCCCC)C=C(C3=CC=C(C4=CC=C(C5=CC=C(C)S5)C6=NSN=C46)S3)S2)S1,1.04
FC(C=CC=C1)=C1/N=C/C(N2)=CC=C2C3=NC4=C(C)C=CC(C5=CC6=C(C7=CC=C(CCCCCCCC)S7)C(SC(C)=C8)=C8C(C9=CC=C(CCCCCCCC)S9)=C6S5)=C4N=C3C%10=CC=C(/C=N/C%11=C(F)C=CC=C%11)N%10,1.04
CC1=CC(C(C#CC2=CC=C(CCCCCCCCCC)C=C2)=C(SC(C)=C3)C3=C4C#CC5=CC=C(CCCCCCCCCC)C=C5)=C4S1,1.05
CC1=CC=C(C2=C(OCCCCCCCC)C(OCCCCCCCC)=C(C3=CC=C(C4=CC=C(N(C5=CC=C(C)C=C5)C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)C=C4)S3)C7=NON=C27)S1,1.05
CC1=CC(CCCCCCCCCCCC)=C(/C=C/C2=C(CCCCCCCCCCCC)C=C(C3=CC=C(C)C4=NSN=C34)S2)S1,1.07
CC1=CC(C2=C3SC(CCCCCCCCCCCCCCCC)=C2)=C(S1)C4=C3C=C(C5=CC(OCCCCCCCCCCCCCCCCCCCC)=C(C6=NC(SC(C7=C(OCCCCCCCCCCCCCCCCCCCC)C=C(C)S7)=N8)=C8S6)S5)S4,1.07
